,description,points,taster_twitter_handle,title,variety,winery
35269,"Herbaceous berry aromas blend with a strong scent of burnt coffee. Astringent and clampy on the palate, expect flavors that match the nose and a green, raw-feeling ending.",82,@wineschach,Garbó 2013 Negre Red (Montsant),Red Blend,Garbó
102717,"Lightly spicy and displaying a brambly character, with fruit flavors of strawberry jelly, this high alcohol (over 15%) Zin includes some high-toned, volatile notes. It is trending toward an Amador County Zinfandel style, though it is not quite that hot or volatile. All in all, it's a good effort.",86,@paulgwine ,Zefina 2005 Zinfandel (Horse Heaven Hills),Zinfandel,Zefina
56911,"Bold and effusive in flavor, this full-bodied red gives ripe, concentrated, focused fruit flavors that recall boysenberry and blackberry. Tannins create that grippy, dry sensation that tames big slabs of meat. An attractive take on a traditional Spanish grape variety; drink now.",91,@gordone_cellars,Hovey 2012 Rolleri Cuvée Tempranillo (Calaveras County),Tempranillo,Hovey
88982,"This bottling offers much of the richness and fruit-forward character of Paso Robles. Accessible aromas of black cherry, vanilla ice cream, black-currant juice and licorice lead into a juicy palate. It's very likable and hedonistic.",88,@mattkettmann,ONX 2016 Indie Noir Red (Paso Robles),Red Blend,ONX
102789,"From negociant Nicolas Potel's own vines, this wine is dense and smoky. It has spice and hints of licorice as well as rich red-cherry fruit. The tannins and the structure of the wine promise aging, so drink this concentrated wine from 2020.",91,@vossroger,Domaine de Bellene 2014 Les Peuillets Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine de Bellene
123409,"This well-crafted wine is reflective of the vintage, which brought its share of challenges. Tea-leaf flavors run throughout, along with quite light red fruits and plenty of acid. The finish is on the green side, but not so much that it's detrimental. Drink this wine while cellaring the bigger wines from riper years.",88,@paulgwine ,Raptor Ridge 2013 Estate Pinot Noir (Chehalem Mountains),Pinot Noir,Raptor Ridge
31099,"Yogev (“tiller of the soil” in Hebrew) is a 50-50 blend of Cabernet and Shiraz. Bright and spicy with a medium mouthfeel and soft tannins, the wine is loaded with jammy red fruit flavors of tart raspberry and strawberry. Ends on a medium to long finish with good intensity.",86,@laurbuzz,Binyamina 2006 Yogev Kosher Cabernet Sauvignon-Shiraz (Samson),Cabernet Sauvignon-Shiraz,Binyamina
19731,"Though not designated, the grapes for this white come from the Dutton Sullivan Vineyard, outside of Graton, planted to a heritage selection of Wente. Wet stone and salty apple make for an inviting beginning, followed by a length of complex Mandarin orange specked in spice. Andrew Berge is the winemaker.",92,@vboone,Spell 2014 Chardonnay (Russian River Valley),Chardonnay,Spell
117069,"Silky in texture, with a tannic bite, this lovely wine is spicy in cinnamon and clove, buoyed by ripe plum and wild strawberry. Medium in weight, it's complex and measured, balanced by a leathery, smooth finish and lively acidity.",93,@vboone,Trombetta 2013 Pinot Noir (Sonoma Coast),Pinot Noir,Trombetta
22358,"From the family's westernmost vineyard, this bottling is fabulously complex. It shows dense dried fruit and turned earth aromas, along with chaparral, smoke, clove and nutmeg. Those wild elements figure strongly on the sip, which shows thyme, rosemary and sagebrush accents around a core of plum, pomegranate and hibiscus flavors. A vanilla flair graces the finish.",94,@mattkettmann,Fess Parker 2015 Parker West Pinot Noir (Sta. Rita Hills),Pinot Noir,Fess Parker
