country,price,province,variety,winery
Spain,19.0,Catalonia,Red Blend,Garbó
US,20.0,Washington,Zinfandel,Zefina
US,26.0,California,Tempranillo,Hovey
US,28.0,California,Red Blend,ONX
France,70.0,Burgundy,Pinot Noir,Domaine de Bellene
US,45.0,Oregon,Pinot Noir,Raptor Ridge
Israel,16.0,Samson,Cabernet Sauvignon-Shiraz,Binyamina
US,38.0,California,Chardonnay,Spell
US,45.0,California,Pinot Noir,Trombetta
US,58.0,California,Pinot Noir,Fess Parker
Lebanon,50.0,Bekaa Valley,Red Blend,Château Musar
France,25.0,Beaujolais,Gamay,Château du Châtelard
France,44.0,Rhône Valley,Syrah,Gilles Flacher
Italy,28.0,Northeastern Italy,Pinot Bianco,Mario Schiopetto
US,40.0,California,Chardonnay,EnRoute
US,23.0,Oregon,Pinot Noir,Andrew Rich
Austria,19.0,Thermenregion,Zierfandler,Stadlmann
Italy,50.0,Veneto,Red Blend,Albino Armani
Chile,25.0,Aconcagua Costa,Syrah,Errazuriz
Italy,35.0,Piedmont,Nebbiolo,Borgogno F.lli Serio e Battista
Argentina,14.0,Mendoza Province,Chardonnay,Alfredo Roca
Italy,32.0,Sicily & Sardinia,Red Blend,Planeta
US,19.0,California,Zinfandel,Nanna's Short Cake
Italy,20.0,Northeastern Italy,Sauvignon Blanc,Attems
US,25.0,California,Pinot Blanc,Wente
US,34.0,California,Chardonnay,Stag's Leap Wine Cellars
Italy,37.0,Northeastern Italy,Lagrein,Franz Haas
US,72.0,California,Pinot Noir,Saintsbury
US,34.0,Washington,Merlot,Gifford Hirlinger
Italy,60.0,Veneto,Red Blend,Corte San Benedetto
Spain,10.0,Northern Spain,Garnacha,Figaro
US,14.0,California,Moscato,Quady
US,23.0,California,Grenache,Naggiar
Italy,30.0,Tuscany,Sangiovese,Tenuta San Vito
Portugal,22.0,Alentejano,Portuguese Red,Casa Agricola Alexandre Relvas
Argentina,20.0,Other,Red Blend,San Huberto
US,50.0,California,Pinot Noir,W.H. Smith
US,15.0,California,Sauvignon Blanc,Berryhill
US,28.0,California,Pinot Noir,La Pitchoune
France,26.0,France Other,Sparkling Blend,Andre et Mireille Tissot
France,30.0,Bordeaux,Bordeaux-style White Blend,Château Mont-Pérat
